ZONE T="boundary0"
-4 -0.0424242 
-4 -0.117103 
-4 -0.286049 
-4 -0.355469 
-4 -0.168789 
-4 -0.220475 
-4 0.505875 
-4 0.376745 
-4 0.635004 
-4 0.0322547 
-4 0.09512 
-4 0.817502 
-4 1 
-4 -0.410418 
-4 -0.465366 
-4 0.273242 
-4 0.299118 
-4 -0.565513 
-4 -0.83283 
-4 -1 
-4 0.215614 
-4 0.244428 
-4 0.324994 
-4 0.157985 
-4 0.186799 
-4 -0.66566 
-4 -0.0797636 
-4 -0.320759 
-4 -0.194632 
-4 0.44131 
-4 -0.253262 
-4 -0.0050847 
-4 0.0636874 
-4 0.726253 
-4 -0.437892 
-4 -0.142946 
-4 0.28618 
-4 -0.51544 
-4 0.57044 
-4 0.908751 
-4 -0.916415 
-4 0.230021 
-4 0.312056 
-4 0.258835 
-4 0.172392 
-4 0.201207 
-4 0.126553 
-4 0.350869 
-4 -0.382943 
-4 -0.615587 
-4 -0.749245 
ZONE T="boundary1"
-2.35393 1 
3.62574 1 
0.129316 1 
1.26221 1 
-0.451293 1 
-0.5542 1 
-1.40328 1 
1.35284 1 
1.42888 1 
0.357967 1 
-0.208311 1 
-0.644405 1 
-1.73412 1 
-1.29807 1 
3.4386 1 
3.25147 1 
-2.88707 1 
1.05797 1 
0.944363 1 
-3.77666 1 
-4 1 
-3.13418 1 
1.95983 1 
1.77164 1 
2.85689 1 
-2.24051 1 
2.67785 1 
-1.90027 1 
1.63828 1 
1.50492 1 
-3.55332 1 
-3.34375 1 
-0.0103763 1 
-0.05986 1 
-0.348387 1 
-0.278349 1 
-0.73461 1 
-0.109344 1 
-0.849086 1 
0.243641 1 
-0.963562 1 
-1.07821 1 
-1.19286 1 
-1.48562 1 
-1.56796 1 
0.80263 1 
0.660897 1 
0.509432 1 
1.17159 1 
4 1 
-2.1271 1 
2.49881 1 
2.32342 1 
2.14802 1 
-2.63996 1 
-2.49694 1 
-0.502747 1 
1.39086 1 
-0.599302 1 
3.34504 1 
1.00117 1 
-3.88833 1 
1.86574 1 
3.05418 1 
-3.01063 1 
-2.29722 1 
1.5716 1 
-3.44853 1 
-0.0351181 1 
-0.313368 1 
-0.689507 1 
0.0594697 1 
-0.0846019 1 
-0.791848 1 
-0.39984 1 
-0.158827 1 
-0.906324 1 
0.300804 1 
-1.02089 1 
0.186478 1 
-1.35067 1 
-1.24546 1 
-1.52679 1 
-1.81719 1 
-1.44445 1 
-3.66499 1 
0.585164 1 
0.731763 1 
1.2169 1 
1.11478 1 
1.30753 1 
1.4669 1 
1.70496 1 
3.81287 1 
-2.01369 1 
3.53217 1 
2.41112 1 
2.05393 1 
-2.76351 1 
2.58833 1 
2.23572 1 
2.76737 1 
-3.23897 1 
-2.18381 1 
-2.42543 1 
-2.56845 1 
-0.24333 1 
0.433699 1 
-1.13553 1 
-1.65104 1 
0.873496 1 
ZONE T="boundary2"
4 -0.636237 
4 -0.818119 
4 -0.538539 
4 -0.44084 
4 -0.286888 
4 -0.241499 
4 -0.145411 
4 0.2824 
4 0.310007 
4 -0.193455 
4 0.128967 
4 0.530022 
4 0.843341 
4 -1 
4 0.373362 
4 0.686681 
4 -0.0435274 
4 -0.386559 
4 -0.332278 
4 0.058356 
4 0.199578 
4 0.227185 
4 1 
4 0.451692 
4 0.254793 
4 -0.727178 
4 -0.489689 
4 -0.264194 
4 0.296203 
4 -0.909059 
4 0.341685 
4 0.608351 
4 -0.0944691 
4 -0.217477 
4 -0.169433 
4 -0.4137 
4 -0.309583 
4 -0.359418 
4 0.00741433 
4 -0.587388 
4 0.164273 
4 0.0936616 
4 0.92167 
4 0.765011 
4 0.490857 
4 0.240989 
4 0.213382 
4 0.412527 
4 0.268596 
ZONE T="boundary3"
-3.04852 -1 
-1.26995 -1 
3.00317 -1 
2.74589 -1 
3.51764 -1 
-0.333281 -1 
-0.279113 -1 
-0.488844 -1 
-0.793492 -1 
0.258472 -1 
1.36093 -1 
1.13976 -1 
-0.733607 -1 
-0.224946 -1 
0.320117 -1 
0.383648 -1 
1.27528 -1 
4 -1 
3.75882 -1 
1.76843 -1 
-1.56265 -1 
-2.90768 -1 
-1.35909 -1 
2.44496 -1 
2.59543 -1 
3.13179 -1 
1.9281 -1 
-1.92743 -1 
-1.74504 -1 
0.655471 -1 
0.849742 -1 
0.0696257 -1 
0.133227 -1 
0.196828 -1 
-0.0820263 -1 
-0.0062003 -1 
1.00464 -1 
0.927192 -1 
1.08989 -1 
1.04727 -1 
0.447178 -1 
-0.411062 -1 
-0.153486 -1 
-0.581282 -1 
1.18962 -1 
1.48484 -1 
0.584541 -1 
1.60876 -1 
0.515859 -1 
0.726401 -1 
-0.673721 -1 
0.788072 -1 
-0.961016 -1 
-0.877254 -1 
-1.01597 -1 
-3.87441 -1 
-3.74882 -1 
-1.07091 -1 
-1.18081 -1 
-4 -1 
-3.49764 -1 
-2.55705 -1 
-2.34726 -1 
-2.13735 -1 
2.05732 -1 
2.18653 -1 
3.2604 -1 
-2.76684 -1 
-3.27308 -1 
2.87453 -1 
-0.306197 -1 
0.351882 -1 
3.87941 -1 
-1.31452 -1 
-1.83623 -1 
-1.46087 -1 
0.101426 -1 
0.165027 -1 
0.289295 -1 
-0.0441133 -1 
0.0317127 -1 
0.965916 -1 
1.06858 -1 
0.22765 -1 
0.415413 -1 
-0.449953 -1 
-0.372172 -1 
-0.535063 -1 
-0.25203 -1 
1.23245 -1 
1.16469 -1 
1.11483 -1 
1.3181 -1 
1.42289 -1 
0.5502 -1 
0.620006 -1 
0.690936 -1 
-0.189216 -1 
-0.703664 -1 
-0.627502 -1 
0.818907 -1 
-0.919135 -1 
-0.98849 -1 
-3.81161 -1 
1.5468 -1 
1.6886 -1 
1.84826 -1 
0.757236 -1 
3.63823 -1 
-1.22538 -1 
-3.9372 -1 
-3.62323 -1 
-2.2423 -1 
2.12192 -1 
3.38902 -1 
-2.03239 -1 
3.1961 -1 
3.06748 -1 
-2.45216 -1 
2.67066 -1 
2.52019 -1 
-2.66195 -1 
-2.9781 -1 
-2.83726 -1 
-3.38536 -1 
-3.1608 -1 
2.31575 -1 
1.99271 -1 
-0.835373 -1 
0.888467 -1 
0.481519 -1 
-0.117756 -1 
1.02595 -1 
-0.763549 -1 
-1.04344 -1 
-1.12586 -1 
-1.65384 -1 
ZONE T="boundary4"
-0.544394 0.0388427 
-0.538136 0.0591281 
-0.426446 0.447729 
-0.41096 0.461172 
-0.34579 0.507058 
-0.682581 -0.0449202 
-0.680396 -0.0258908 
-0.677625 -0.00694744 
-0.674418 0.0111777 
-0.1918 0.536876 
-0.670693 0.0291927 
-0.205883 0.539796 
-0.654487 0.089008 
-0.645398 0.115592 
-0.25534 0.539821 
-0.200594 0.280639 
-0.216748 0.27137 
-0.662783 0.0610928 
-0.152047 0.318029 
-0.173427 0.299301 
-0.548858 -0.00369509 
-0.123552 0.353845 
-0.130616 0.343114 
-0.464451 0.15365 
-0.437935 0.171958 
-0.54805 0.0177323 
-0.23756 0.541476 
-0.106755 0.393074 
-0.635321 0.141782 
-0.624856 0.166388 
-0.117851 0.364089 
-0.613637 0.190624 
-0.602538 0.212969 
-0.590922 0.235009 
-0.579726 0.255125 
-0.532535 0.328306 
-0.520203 0.344929 
-0.568032 0.274931 
-0.529497 0.0784849 
-0.178774 0.532769 
-0.544467 0.311358 
-0.55649 0.293309 
-0.495426 0.37591 
-0.110878 0.379988 
-0.48267 0.390721 
-0.275997 0.24412 
-0.254519 0.253127 
-0.441531 0.433707 
-0.469578 0.405172 
-0.153986 0.520292 
-0.166296 0.527353 
-0.455735 0.419662 
-0.511301 0.107195 
-0.142292 0.511566 
-0.489016 0.132398 
-0.395133 0.473916 
-0.417024 0.184108 
-0.104486 0.403455 
-0.373455 0.205218 
-0.34952 0.21527 
-0.395486 0.195116 
-0.102656 0.420515 
-0.233411 0.262833 
-0.325385 0.22482 
-0.300645 0.23439 
-0.378895 0.485935 
-0.362521 0.496958 
-0.103217 0.412541 
-0.310617 0.524327 
-0.292341 0.531089 
-0.102916 0.434187 
-0.273607 0.536367 
-0.132678 0.502399 
-0.221025 0.541386 
-0.102601 0.427838 
-0.50799 0.360581 
-0.328755 0.516105 
-0.140204 0.330814 
-0.11535 0.477943 
-0.104438 0.446032 
-0.11063 0.467656 
-0.103544 0.440275 
-0.11817 0.483016 
-0.128452 0.497605 
-0.12467 0.492799 
-0.105612 0.451685 
-0.121233 0.487907 
-0.112873 0.47289 
-0.147919 0.516048 
-0.107014 0.457071 
-0.108705 0.462455 
-0.54158 0.0490826 
-0.418761 0.454521 
-0.679083 -0.0164082 
-0.681563 -0.0353967 
-0.676087 0.002127 
-0.67262 0.0201987 
-0.650071 0.102345 
-0.20861 0.2759 
-0.658782 0.0750948 
-0.162441 0.308353 
-0.12698 0.348419 
-0.451417 0.163128 
-0.546569 0.0283475 
-0.630189 0.154128 
-0.120605 0.35892 
-0.608157 0.201832 
-0.585382 0.2451 
-0.52642 0.336656 
-0.573946 0.265068 
-0.534099 0.0689329 
-0.185228 0.534985 
-0.550538 0.302374 
-0.538553 0.31987 
-0.562322 0.284159 
-0.489092 0.383355 
-0.265226 0.248552 
-0.434044 0.440781 
-0.476169 0.397989 
-0.160034 0.523999 
-0.462706 0.412466 
-0.448684 0.426738 
-0.500622 0.120207 
-0.403106 0.467622 
-0.108652 0.386488 
-0.42757 0.178189 
-0.105515 0.398247 
-0.361522 0.210326 
-0.406321 0.189742 
-0.225031 0.267013 
-0.370769 0.491544 
-0.103769 0.407991 
-0.354217 0.502119 
-0.301536 0.527881 
-0.102872 0.416527 
-0.283021 0.533928 
-0.264504 0.538303 
-0.387076 0.480014 
-0.172458 0.530225 
-0.13735 0.507121 
-0.198799 0.538512 
-0.213425 0.540778 
-0.102573 0.424179 
-0.246461 0.540865 
-0.229283 0.541636 
-0.243914 0.257873 
-0.548819 0.00703235 
-0.501754 0.368284 
-0.666936 0.0451925 
-0.114127 0.371948 
-0.31975 0.520372 
-0.145984 0.324301 
-0.135275 0.33687 
-0.514143 0.352792 
-0.102716 0.431017 
-0.126528 0.495228 
-0.10499 0.448867 
-0.122919 0.490376 
-0.11408 0.475433 
-0.14507 0.513849 
-0.130531 0.500032 
-0.10628 0.454388 
-0.109636 0.465068 
-0.10319 0.437237 
-0.11967 0.485481 
-0.103955 0.443161 
-0.107826 0.459774 
-0.111718 0.470288 
-0.116727 0.480498 
-0.150918 0.518216 
-0.521013 0.09323 
-0.313016 0.229607 
-0.337333 0.511707 
-0.337469 0.220089 
-0.619337 0.178549 
-0.596793 0.224023 
-0.384517 0.200269 
-0.288302 0.23921 
-0.640479 0.128734 
-0.477053 0.143394 
-0.186735 0.289593 
ZONE T="boundary5"
-0.622516 -0.37544 
-0.632882 -0.353562 
0.296382 -0.00571681 
-0.682581 -0.0449202 
-0.685153 -0.0831417 
0.267934 -0.00524605 
0.698989 -0.525292 
-0.670798 -0.238034 
0.595988 -0.599872 
0.583169 -0.606482 
-0.642705 -0.330359 
-0.406595 -0.606961 
-0.382211 -0.620281 
-0.50744 -0.531707 
-0.488661 -0.548684 
-0.558545 -0.475962 
-0.169375 -0.686797 
-0.206241 -0.680141 
-0.23897 -0.672841 
-0.271485 -0.664105 
-0.357211 -0.632397 
-0.329954 -0.644014 
0.143849 -0.0163242 
-0.300921 -0.654753 
-0.587022 -0.436834 
-0.611238 -0.396903 
0.709427 -0.514391 
0.719974 -0.502295 
-0.536204 -0.0600919 
-0.548858 -0.00369509 
0.182644 -0.0106442 
0.224597 -0.00673949 
0.762427 -0.433519 
0.768348 -0.418174 
-0.261266 -0.147038 
-0.21454 -0.132853 
-0.177663 -0.119689 
0.756013 -0.447422 
